what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230846895777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1230846904438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1230846907417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230846909364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230846951366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230846955779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230846969926
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230846974548
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230846978540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1230846981568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230846982915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230846995142
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1230847004520
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1230847016151
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230847029993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230847040755
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230847057757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230847069331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1230847096292
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1230847098560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1230847126385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1230847128352
